NOME,DISTRITO
Externato do Parque,Lisboa
Externato de S. José,Lisboa
Escola Raiz,Lisboa
Centro de Intervencão Tecnico-Pedagógico,Lisboa
Colégio Santo André,Lisboa
Colégio Arte & Manha,Lisboa
Colégio Monte Flor,Lisboa
Externato Santa Catarina,Lisboa
Externato A Palmeirinha,Lisboa
"Externato ""Padre António Vieira""",Lisboa
Externato Nova Oeiras,Lisboa
"Externato ""Alfa-Beta""",Lisboa
Externato A Minha Escola,Lisboa
Colégio São Francisco de Assis,Lisboa
Colégio da Torre,Lisboa
Colégio da Fonte,Lisboa
Externato da Quintinha,Lisboa
"Externato ""Florbela Espanca""",Lisboa
Conservatório Artallis,Lisboa
Colégio Pedro Arrupe,Lisboa
Colégio Integrado Monte Maior,Lisboa
Colégio Oriente,Lisboa
Colégio Bartolomeu Dias,Lisboa
Jardim De Infância Do Posto Assistência Social Da Malveira,Lisboa
Colégio Militar,Lisboa
Colégio Manuel Bernardes,Lisboa
Colégio Luso-Suíço,Lisboa
Associação Infante De Sagres,Lisboa
Externato Eduardo Claparède,Lisboa
Colégio do Sagrado Coração de Maria - Lisboa,Lisboa
Colégio do Bom Sucesso,Lisboa
Colégio de São João de Brito,Lisboa
Colégio de Santa Maria,Lisboa
Colégio São Tomás - Quinta das Conchas,Lisboa
Academia de Música de Santa Cecília,Lisboa
Externato As Descobertas,Lisboa
Externato Alfredo Binet,Lisboa
Cooperativa A Torre,Lisboa
"Externato ""A Ritinha""",Lisboa
"Externato ""A Escolinha""",Lisboa
IES Cesário Verde International School Portugal,Lisboa
Colégio As Descobertas,Lisboa
Escola Selecta Amadeu Andrés,Lisboa
Colégio Académico,Lisboa
"Colégio ""O Pelicano""",Lisboa
Colégio Piloto Diese,Lisboa
Nova Escola João de Deus Ramos,Lisboa
Lua Crescente,Lisboa
Colégio Valsassina,Lisboa
Colégio São Tomás - Sete Rios,Lisboa
Salesianos de Lisboa - Colégio Oficinas de São José,Lisboa
PaRK International School - Restelo,Lisboa
Montessori Bright Academy,Lisboa
Externato da Sociedade Promotora de Educação Popular,Lisboa
Externato da Luz,Lisboa
Externato São Cristóvão,Lisboa
Externato Santa Maria de Belém,Lisboa
"Externato ""Santa Francisca""",Lisboa
"Externato ""Sá de Miranda""",Lisboa
Externato São Miguel Arcanjo,Lisboa
Externato Nobel,Lisboa
Colégio Mira Rio,Lisboa
Externato Marcelino Champagnat,Lisboa
Externato Mãe de Deus,Lisboa
"Externato ""Luso-Britânico""",Lisboa
"Externato ""João XXIII""",Lisboa
"Externato ""Infante D. Pedro""",Lisboa
Externato Grão Vasco,Lisboa
Colégio Moderno,Lisboa
Escola do Grémio de Instrução Liberal de Campo de Ourique,Lisboa
Escola Primária Centro Cultural e Recreativo para Crianças Cruzeiro e Rio Seco,Lisboa
CEBE - Cooperativa de Ensino de Benfica,Lisboa
Escola Privativa n.º 1 de A Voz do Operário,Lisboa
Primeira Secção do Externato Alfredo Binet,Lisboa
Real Colégio de Portugal,Lisboa
Queen Elizabeths School,Lisboa
Externato Rainha Dona Amélia,Lisboa
Externato PIM PAM PUM,Lisboa
Externato Os Fofinhos,Lisboa
Externato O Poeta,Lisboa
Externato O Nosso Jardim,Lisboa
"Externato ""O Lar da Criança""",Lisboa
Externato O Barquinho,Lisboa
Escola de São Francisco Xavier,Lisboa
Escola de Pedro Nunes,Lisboa
Escola Ave-Maria,Lisboa
CRINABEL- Cooperativa de Ensino Especial e Solidariedade Social,Lisboa
Escola Casa da Floresta,Lisboa
Associação Ester Janz,Lisboa
Colégio Helen Keller,Lisboa
Jardim Escola O Bosque,Lisboa
Escola Privativa n.º 6 de A Voz do Operário,Lisboa
Escola Primária do Centro C. R. C. Cruz. e Rio Seco,Lisboa
"Centro de Pedagogia Terapêutica ""Bola de Neve""",Lisboa
Centro de Educação e Desenvolvimento Nossa Senhora da Conceição (Casa Pia),Lisboa
Centro de Educação e Desenvolvimento Jacob Rodrigues Pereira - Casa Pia,Lisboa
Centro de Educação e Desenvolvimento D. Nuno Álvares Pereira - Casa Pia,Lisboa
Centro de Educação e Desenvolvimento D. Maria Pia - Casa Pia,Lisboa
Externato Primário N.º 4 De Educação Popular,Lisboa
Externato Marista de Lisboa,Lisboa
Externato Liceal Das Casas De S. Vicente De Paulo,Lisboa
Jardim Escola João de Deus - Alvalade,Lisboa
Externato Infantil e Primário O Beiral,Lisboa
Externato Fernão Mendes Pinto,Lisboa
"Escola Básica Professor Abel Avelino, Alpiarça",Santarém
"Escola Básica de Frade de Baixo, Alpiarça",Santarém
Escola Básica de Alpiarça,Santarém
"Escola Básica de Alcoentre, Azambuja",Lisboa
"Escola Básica de Manique do Intendente, Azambuja",Lisboa
"Escola Básica do Sacapeito, Santarém",Santarém
"Escola Básica de Pereiro, Santarém",Santarém
"Escola Básica n.º 7 de Santarém - Leões, Santarém",Santarém
Escola Básica de Salvaterra de Magos,Santarém
"Escola Básica Raul Lino, Cascais",Lisboa
"Escola Básica Fernando Teixeira Lopes, Cascais",Lisboa
"Escola Básica Fausto Cardoso de Figueiredo, Estoril, Cascais",Lisboa
"Escola Básica Fernando José dos Santos, Cascais",Lisboa
"Escola Básica n.º 1 de Galiza, Cascais",Lisboa
"Escola Básica n.º 1 de São João do Estoril, Cascais",Lisboa
"Escola Básica Hortênsia Diogo Correia, Cascais",Lisboa
"Escola Básica de Manique, Cascais",Lisboa
"Escola Básica Almada Negreiros, Cascais",Lisboa
"Escola Básica A. H. Oliveira Marques, Cascais",Lisboa
"Escola Básica de Caparide, Cascais",Lisboa
"Escola Básica Santo António, Parede, Cascais",Lisboa
"Escola Básica de Murtal, Cascais",Lisboa
"Escola Básica Afonso do Paço, Parede, Cascais",Lisboa
"Escola Básica José Garcês, Casal da Mira, Amadora",Lisboa
"Escola Básica Brito Pais, Amadora",Lisboa
"Escola Básica de Moinhos da Funcheira, Amadora",Lisboa
"Escola Básica de Assafora, Sintra",Lisboa
"Escola Básica n.º 1 da Terrugem, Sintra",Lisboa
"Escola Básica de Bolembre, Magoito, Sintra",Lisboa
"Escola Básica de Vila Verde, Sintra",Lisboa
"Escola Básica de São João das Lampas, Sintra",Lisboa
"Escola Básica de Santa Susana, Sintra",Lisboa
"Escola Básica de Faião, Sintra",Lisboa
"Escola Básica Branquinho da Fonseca, Cascais",Lisboa
Escola Básica de Cascais,Lisboa
"Escola Básica de Areia - Guincho, Cascais",Lisboa
"Escola Básica n.º 1 de Aldeia do Juso, Cascais",Lisboa
"Escola Básica Vasco Martins Rebolo, Reboleira, Amadora",Lisboa
"Escola Básica da Terra dos Arcos, Falagueira, Amadora",Lisboa
Centro Educativo do Mondego,Guarda
"Escola Básica de Sequeira, Guarda",Guarda
"Escola Básica de Póvoa do Mileu, Guarda",Guarda
"Escola Básica de Porto da Carne, Guarda",Guarda
"Escola Básica de Pêra do Moço, Guarda",Guarda
"Escola Básica de Estação, Guarda",Guarda
"Escola Básica de Barracão, Guarda",Guarda
"Escola Básica de Bairro do Pinheiro, Guarda",Guarda
"Escola Básica de Bairro da Luz, Guarda",Guarda
"Escola Básica de Alfarazes, Guarda",Guarda
"Escola Básica de Rochoso, Guarda",Guarda
"Jardim de Infância de Vila Fernando, Guarda",Guarda
"Escola Básica Professor Doutor António Sena Faria de Vasconcelos, Castelo Branco",Castelo Branco
"Escola Básica Nossa Senhora da Piedade, Castelo Branco",Castelo Branco
Escola Básica Cidade de Castelo Branco,Castelo Branco
"Escola Básica de Escalos de Baixo, Castelo Branco",Castelo Branco
"Escola Básica de Boa Esperança, Castelo Branco",Castelo Branco
"Escola Básica de Malpica do Tejo, Castelo Branco",Castelo Branco
"Escola Básica de Barroca Grande, Covilhã",Castelo Branco
"Jardim de Infância de São Jorge da Beira, Covilhã",Castelo Branco
"Jardim de Infância de Coutada, Covilhã",Castelo Branco
"Escola Básica n.º 1 de Paúl, Covilhã",Castelo Branco
"Escola Básica de Unhais da Serra, Covilhã",Castelo Branco
"Escola Básica de Peso, Covilhã",Castelo Branco
"Escola Básica de Montes Hermínios, Tortosendo, Covilhã",Castelo Branco
"Escola Básica de Largo da Feira, Tortosendo, Covilhã",Castelo Branco
"Escola Básica de Dominguizo, Covilhã",Castelo Branco
"Escola Básica de Cortes, Covilhã",Castelo Branco
"Escola Básica n.º 1 de Ferrel, Peniche",Leiria
"Escola Básica n.º 1 de Atouguia da Baleia, Peniche",Leiria
"Escola Básica de Geraldes, Peniche",Leiria
"Escola Básica da Serra de El-Rei, Peniche",Leiria
"Escola Básica da Estrada, Peniche",Leiria
"Escola Básica da Bufarda, Peniche",Leiria
"Escola Básica de Rio de Couros, Ourém",Santarém
"Escola Básica de Espite, Ourém",Santarém
"Escola Básica de Casal dos Bernardos, Ourém",Santarém
"Escola Básica de Amieira, Ourém",Santarém
"Escola Básica da Mata, Ourém",Santarém
"Escola Básica de Caxarias, Ourém",Santarém
"Escola Básica de Atouguia, Ourém",Santarém
"Escola Básica Santa Teresa, Ourém",Santarém
"Escola Básica da Caridade, Ourém",Santarém
"Escola Básica das Misericórdias, Ourém",Santarém
"Escola Básica Ourém Nascente, Ourém",Santarém
"Escola Básica e Secundária Dr.ª Judite Andrade, Sardoal",Santarém
"Escola Básica de Arcena, Vila Franca de Xira",Lisboa
"Escola Básica do Bom Sucesso, Alverca do Ribatejo, Vila Franca de Xira",Lisboa
"Escola Básica n.º 1 de Benedita, Alcobaça",Leiria
"Escola Básica do Vimeiro, Alcobaça",Leiria
"Escola Básica de Turquel, Alcobaça",Leiria
"Escola Básica de Ribafria, Alcobaça",Leiria
"Escola Básica Maria do Carmo Serrote, Sesimbra",Setúbal
"Escola Básica do Casal do Sapo (Fontainhas), Sesimbra",Setúbal
"Escola Básica de Pegões Cruzamento, Pegões, Montijo",Setúbal
"Escola Básica de Foros do Trapo, Montijo",Setúbal
"Escola Básica de Foros da Craveira do Norte, Afonsos, Montijo",Setúbal
"Escola Básica de Craveira do Norte, Montijo",Setúbal
"Escola Básica de Pegões Velhos, Montijo",Setúbal
"Escola Básica de Canha, Montijo",Setúbal
"Escola Básica da Freguesia de Santo Isidoro, Lagoa, Mafra",Lisboa
"Escola Básica da Freguesia da Encarnação, Encarnação, Mafra",Lisboa
"Escola Básica da Freguesia da Carvoeira, Fonte Boa da Brincosa, Mafra",Lisboa
"Escola Básica da Ericeira, Mafra",Lisboa
Escola Básica de Constância,Santarém
"Escola Básica de Montalvo, Constância",Santarém
"Escola Básica de Santa Margarida da Coutada, Constância",Santarém
"Escola Básica de Cadafais, Alenquer",Lisboa
"Escola Básica do Carregado, Alenquer",Lisboa
"Escola Básica n.º 1 do Carregado, Alenquer",Lisboa
"Escola Básica D. Luís de Mendonça Furtado, Barreiro",Setúbal
"Escola Básica Professora Manuela Fonseca, Barreiro",Setúbal
Escola Básica n.º 72 de Lisboa,Lisboa
"Escola Básica Rainha Santa Isabel, Lisboa",Lisboa
"Escola Básica Engenheiro Ressano Garcia, Lisboa",Lisboa
"Escola Básica Santos Mattos, Venda Nova, Amadora",Lisboa
"Escola Básica Orlando Gonçalves, Alfornelos, Amadora",Lisboa
"Escola Básica Alice Leite, Alfornelos, Amadora",Lisboa
"Escola Básica Maria Irene Lopes de Azevedo, Venda Nova, Amadora",Lisboa
"Escola Básica n.º 1 da Trafaria, Almada",Setúbal
"Escola Básica n.º 3 da Trafaria, Almada",Setúbal
"Escola Básica Cremilde Castro e Norvinda Silva, Almada",Setúbal
"Escola Básica do Casal do Cotão, Sintra",Lisboa
"Escola Básica n.º 1 de São Marcos, Sintra",Lisboa
"Escola Básica n.º 2 de São Marcos, Sintra",Lisboa
"Escola Básica Elias Garcia, Sobreda, Almada",Setúbal
"Escola Básica Miquelina Pombo, Almada",Setúbal
"Escola Básica Rogério Ribeiro, Pragal, Almada",Setúbal
"Escola Básica n.º 3 de Monte da Caparica, Almada",Setúbal
"Escola Básica n.º 1 de Monte da Caparica, Almada",Setúbal
"Escola Básica do Carvalhal Benfeito, Caldas da Rainha",Leiria
"Escola Básica de São Gregório, Caldas da Rainha",Leiria
"Escola Básica de Santa Catarina, Caldas da Rainha",Leiria
"Escola Básica de Relvas, Caldas da Rainha",Leiria
"Escola Básica de Casais da Serra, Caldas da Rainha",Leiria
"Escola Básica de Alvorninha, Caldas da Rainha",Leiria
"Escola Básica de A-dos-Francos, Caldas da Rainha",Leiria
"Escola Básica n.º 1 de Fazendas de Almeirim, Almeirim",Santarém
"Escola Básica de Paço dos Negros, Almeirim",Santarém
"Escola Básica do Alto do Moinho, Zambujal, Amadora",Lisboa
"Escola Básica da Quinta Grande, Alfragide, Amadora",Lisboa
"Escola Básica de Alfragide, Amadora",Lisboa
"Escola Básica de Valado dos Frades, Nazaré",Leiria
"Escola Básica de Famalicão, Nazaré",Leiria
"Escola Básica do Norte, Nazaré",Leiria
"Escola Básica n.º 1 de Rio de Mouro, Sintra",Lisboa
"Escola Básica n.º 2 da Serra das Minas, Sintra",Lisboa
"Escola Básica n.º 2 da Rinchoa, Sintra",Lisboa
"Escola Básica n.º 2 de Rio de Mouro, Sintra",Lisboa
"Escola Básica Rossio ao Sul do Tejo, Abrantes",Santarém
"Escola Básica Maria Lucília Moita, Abrantes",Santarém
"Escola Básica do Pego, Abrantes",Santarém
"Escola Básica de Mouriscas, Abrantes",Santarém
"Escola Básica de Bemposta, Abrantes",Santarém
"Escola Básica de Alvega, Abrantes",Santarém
"Escola Básica Maria de Lourdes Pintasilgo, Abrantes",Santarém
"Escola Básica de Acácias, Samora Correia, Benavente",Santarém
"Escola Básica de Samora Correia, Benavente",Santarém
"Escola Básica de Fonte dos Escudeiros, Samora Correia, Benavente",Santarém
"Escola Básica n.º 2 de Porto Alto, Benavente",Santarém
"Escola Básica n.º 1 de Marinhais, Salvaterra de Magos",Santarém
"Escola Básica de Glória do Ribatejo, Salvaterra de Magos",Santarém
"Escola Básica de Granho, Salvaterra de Magos",Santarém
"Escola Básica de Muge, Salvaterra de Magos",Santarém
"Escola Básica da Lamarosa, Coruche",Santarém
Escola Básica n.º 1 de Coruche,Santarém
"Escola Básica do Couço, Coruche",Santarém
"Escola Básica do Biscainho, Coruche",Santarém
"Escola Básica de Santana do Mato, Coruche",Santarém
"Escola Básica de Foros do Rebocho, Coruche",Santarém
"Escola Básica de Foros da Branca, Branca, Coruche",Santarém
"Escola Básica de Fajarda, Coruche",Santarém
"Escola Básica de Azervadinha, Montinhos dos Pegos, Coruche",Santarém
"Escola Básica D. Sancho I, Pontével, Cartaxo",Santarém
"Escola Básica de Casais do Vale da Pedra, Cartaxo",Santarém
"Escola Básica da Lapa, Cartaxo",Santarém
"Escola Básica de Vale da Pinta, Cartaxo",Santarém
Escola Básica de Vila Nova da Barquinha,Santarém
"Escola Básica da Praia do Ribatejo, Vila Nova da Barquinha",Santarém
"Jardim de Infância de Gançaria, Santarém",Santarém
"Escola Básica n.º 1 de Alcanede, Santarém",Santarém
"Escola Básica de Tremês, Santarém",Santarém
"Escola Básica de Tojosa, Santarém",Santarém
"Escola Básica de Pernes, Santarém",Santarém
"Escola Básica de Casével, Santarém",Santarém
"Escola Básica de Azoia de Cima, Santarém",Santarém
"Escola Básica de Arneiro das Milhariças, Santarém",Santarém
"Escola Básica de Amiais de Cima, Santarém",Santarém
"Escola Básica de Amiais de Baixo, Santarém",Santarém
"Escola Básica de Advagar, Santarém",Santarém
"Escola Básica de Abrã, Santarém",Santarém
"Escola Básica Visconde de São Gião, Torres Novas",Santarém
"Escola Básica da Serra de Aire, Pedrógão, Torres Novas",Santarém
"Escola Básica de Olaia, Torres Novas",Santarém
"Escola Básica de Assentis e Chancelaria, Outeiro Grande, Torres Novas",Santarém
