"CODIGO","NOME","CODUOME","NOMEUO","SEDE","MORADA","LOCALIDADE","CONCELHO","DISTRITO","CP","CODDSR","CODQZP","GRUPONATUREZAINST","CICLO","FAX","URL","EMAIL","TELEFONE1","TELEFONE2"
"504294","Externato do Parque","","","N","Rua Artilharia Um, nº 97","LISBOA","Lisboa","Lisboa","1070-012","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","213831609","","ext.parque@escolas.min-edu.pt; ","213 806 431","938 030 569"
"503575","Externato de S. José","","","N","Avenida das Descobertas, 27","LISBOA","Lisboa","Lisboa","1400-091","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo;3º Ciclo;Secundário","213037029","http://www.esj.edu.pt","ext.sjose@escolas.min-edu.pt; ","213037020",""
"522119","Escola Raiz","","","N","Avenida Torre de Belém, n.º 30","LISBOA","Lisboa","Lisboa","1400-343","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo","213042089","","esc.raiz@escolas.min-edu.pt; ","213042080",""
"800290","Centro de Intervencão Tecnico-Pedagógico","","","N","R. Fernão Lopes n.º 8","CASAL DE CAMBRA","Sintra","Lisboa","2605-760","Lisboa e Vale do Tejo","QZP.45","Privado","1º Ciclo;Especial","219809131","","ct.itpedagogico@escolas.min-edu.pt; ","219802809",""
"800434","Colégio Santo André","","","N","Casal das Andorinhas -Quinta dos Estrangeiros","VENDA DO PINHEIRO","Mafra","Lisboa","2665-601","Lisboa e Vale do Tejo","QZP.42","Privado","1º Ciclo;2º Ciclo;3º Ciclo;Secundário","219666729","http://www.colegiosantoandre.pt","cl.standre@escolas.min-edu.pt; ","219666720",""
"800334","Colégio Arte & Manha","","","N","Rua António Monteiro, 5","MAFRA","Mafra","Lisboa","2640-488","Lisboa e Vale do Tejo","QZP.42","Privado","Pré-escolar;1º Ciclo","261815275","","","261854128","913130101"
"503186","Colégio Monte Flor","","","N","Rua Irmã Lúcia, n.º 10 - Parque de Santa Cruz","CARNAXIDE","Oeiras","Lisboa","2790-251","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","214185376","http://www.monteflor.pt","je.monteflor@escolas.min-edu.pt; ","214184979",""
"803255","Externato Santa Catarina","","","N","R. Padre José da Felicidade Alves","CRUZ QUEBRADA-DAFUNDO","Oeiras","Lisboa","1495-688","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","214142005","http://www.santacatarina-ext.pt","ext.stacatarina@escolas.min-edu.pt; ","214142001",""
"504257","Externato A Palmeirinha","","","N","R. Dr. José Carlos Moreira, nº 23 e 25","OEIRAS","Oeiras","Lisboa","2780-123","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","214580705","http://www.externatopalmeirinha.com","ext.apalmeirinha@escolas.min-edu.pt; ","214583733",""
"505249","Externato ""Padre António Vieira""","","","N","Av. Tomás Ribeiro nº16","LINDA A VELHA","Oeiras","Lisboa","2795-183","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo","214155889","","ext.pantoniovieira@escolas.min-edu.pt; ","214155880",""
"504180","Externato Nova Oeiras","","","N","Alameda Conde de Oeiras, nº 47","OEIRAS","Oeiras","Lisboa","2780-134","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","214417854","http://www.externatonovaoeiras.com","ext.novaoeiras@escolas.min-edu.pt; ","214430877",""
"502133","Externato ""Alfa-Beta""","","","N","Rua Camilo Castelo Branco, nº 28","QUEIJAS","Oeiras","Lisboa","2790-320","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","214170795","","ext.alfabeta@escolas.min-edu.pt; ","214183685",""
"503010","Externato A Minha Escola","","","N","Rua Lino de Assunção, n.º 16","PAÇO DE ARCOS","Oeiras","Lisboa","2770-109","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","214421071","http://www.aminhaescola.pt","ext.aminhaescola@escolas.min-edu.pt; ","214435011",""
"800426","Colégio São Francisco de Assis","","","N","Lagoas Park, Edifício CSFA, Lote 17","PORTO SALVO","Oeiras","Lisboa","2740-262","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","210050199","http://www.sfranciscoassis.com","cl.sfranciscoassis@escolas.min-edu.pt; ","210050190",""
"800457","Colégio da Torre","","","N","Rua Carlos Vieira Ramos, nº 10","PAÇO DE ARCOS","Oeiras","Lisboa","2770-217","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo;2º Ciclo","214408111","http://www.colegiodatorre.pt","cl.osgordinhos@escolas.min-edu.pt; ","214408110",""
"800450","Colégio da Fonte","","","N","Rua da Juventude, 2","PORTO SALVO","Oeiras","Lisboa","2740-079","Lisboa e Vale do Tejo","QZP.45","Privado","Pré-escolar;1º Ciclo","214235319","","cl.fonte@escolas.min-edu.pt; ","214235310",""
